Company,link href,Vegan (all on here are vegan ),Features Peta Logo,PETA Business Friends
Aura,https://crueltyfree.peta.org/company/aura/,,,
Aura MLM,https://crueltyfree.peta.org/company/aura-mlm/,,L,
Aurae Natura,https://crueltyfree.peta.org/company/aurae-natura/,,L,
Auravie Biocosméticos,https://crueltyfree.peta.org/company/auravie-biocosmeticos/,,,
AURÉOLAH,https://crueltyfree.peta.org/company/aureolah/,,L,
Aurora Rose (Aurora Natural Skincare),https://crueltyfree.peta.org/company/aurora-love-natural/,,,
Australian Glow,https://crueltyfree.peta.org/company/australian-glow/,,L,
Thank Rose,https://crueltyfree.peta.org/company/australian-rose-company/,,L,
Authentic Beauty Concept (Henkel),https://crueltyfree.peta.org/company/authentic-beauty-concept-henkel/,,L,
Authentic Oil Co,https://crueltyfree.peta.org/company/authentic-oil-co/,,L,
AVA Cosmetics,https://crueltyfree.peta.org/company/ava-cosmetics/,,L,
AVA Haircare,https://crueltyfree.peta.org/company/ava-haircare/,,L,
Averr Aglow,https://crueltyfree.peta.org/company/averr-aglow/,,L,
Avestan,https://crueltyfree.peta.org/company/avestan/,,L,
Avigal Henna,https://crueltyfree.peta.org/company/avigal-henna/,,,
Aviva Labs,https://crueltyfree.peta.org/company/aviva-labs/,,L,
As I Am,https://crueltyfree.peta.org/company/avlon-industries/,,L,
Avocado Dreamin LLC,https://crueltyfree.peta.org/company/avocado-dreamin-llc/,,,
Avoskin Beauty,https://crueltyfree.peta.org/company/avoskin-beauty/,,L,
Avoyd,https://crueltyfree.peta.org/company/avoyd/,,,
AvryBeauty,https://crueltyfree.peta.org/company/avrybeauty/,,L,
Awen Skin Care,https://crueltyfree.peta.org/company/awen-skin-care/,,L,
Axachem,https://crueltyfree.peta.org/company/axachem/,,L,
Axiology,https://crueltyfree.peta.org/company/axiology/,,,
AXION-BUBBLE,https://crueltyfree.peta.org/company/axion-bubble/,,L,
AYA Cosmetics,https://crueltyfree.peta.org/company/aya-cosmetics/,,L,
Ayda,https://crueltyfree.peta.org/company/ayda/,,L,
Ayluna,https://crueltyfree.peta.org/company/ayluna/,,,
Ayr Skin Care,https://crueltyfree.peta.org/company/ayr-skin-care/,,L,
Ayumi Natural,https://crueltyfree.peta.org/company/ayumi-natural/,,L,
Ayurveda Holistic Center,https://crueltyfree.peta.org/company/ayurveda-holistic-center/,,,
Azafran Organics,https://crueltyfree.peta.org/company/azafran-organics/,,,
Azalia Spa Goods,https://crueltyfree.peta.org/company/azalia-spa-goods/,,L,
AZATURE,https://crueltyfree.peta.org/company/azature/,,L,
Azelia’s Earth,https://crueltyfree.peta.org/company/azelias-earth/,,L,
AZK,https://crueltyfree.peta.org/company/azk/,,L,
AZLO Lashes,https://crueltyfree.peta.org/company/azlo-lashes/,,L,
Azuaya,https://crueltyfree.peta.org/company/azuaya/,,L,
Azul Cosmetique SAS,https://crueltyfree.peta.org/company/azul-cosmetique-sas/,,L,
AZURE IS BLUE,https://crueltyfree.peta.org/company/azure-is-blue/,,L,
Azur Natural Bodycare,https://crueltyfree.peta.org/company/azure-natural-bodycare/,,L,
Azurlis® Natural Skin Care,https://crueltyfree.peta.org/company/azurlis-natural-skin-care/,,L,
b.box for kids,https://crueltyfree.peta.org/company/b-box-for-kids/,,L,
B Buddah Beauty,https://crueltyfree.peta.org/company/b-buddah-beauty/,,,
B-leaf Botanics,https://crueltyfree.peta.org/company/b-leaf-botanics/,,L,
B.RESPECT,https://crueltyfree.peta.org/company/b-respect/,,L,
B4 Brands,https://crueltyfree.peta.org/company/b4-brands/,,,
Babe Essentials,https://crueltyfree.peta.org/company/babe-essentials/,,L,
Babeskin,https://crueltyfree.peta.org/company/babeskin/,,L,
Babu,https://crueltyfree.peta.org/company/babu/,,L,
Baby Ammens,https://crueltyfree.peta.org/company/baby-ammens/,,L,
baby forest,https://crueltyfree.peta.org/company/baby-forest/,,L,
Baby Magic (Naterra International),https://crueltyfree.peta.org/company/baby-magic-naterra-international/,,L,
BabyBoo,https://crueltyfree.peta.org/company/babyboo/,,L,
babybulles,https://crueltyfree.peta.org/company/babybulles/,,L,
Babydoll Cosmetics,https://crueltyfree.peta.org/company/babydoll-cosmetics/,,L,
Baca (I&W Research),https://crueltyfree.peta.org/company/baca-iw-research/,,L,
Bacana-Skincare,https://crueltyfree.peta.org/company/bacana-skincare/,,L,
Back To Earth Skin,https://crueltyfree.peta.org/company/back-to-earth-skin/,,L,
Back To Normal,https://crueltyfree.peta.org/company/back-to-normal/,,L,
backtothelandlab,https://crueltyfree.peta.org/company/backtothelandlab/,,L,
Badecanlar Şefkatli Kozmetik,https://crueltyfree.peta.org/company/badecanlar-sefkatli-kozmetik/,,L,
BadGal Lash,https://crueltyfree.peta.org/company/badgal-lash/,,,
Bahini,https://crueltyfree.peta.org/company/bahini/,,L,
Baie Botanique,https://crueltyfree.peta.org/company/baie-botanique/,,L,
Baims,https://crueltyfree.peta.org/company/baims/,,L,
Bain De Terre (Henkel),https://crueltyfree.peta.org/company/bain-de-terre/,,,
B’Airie Beauty,https://crueltyfree.peta.org/company/bairie-beauty/,,L,
Bakel,https://crueltyfree.peta.org/company/bakel/,,L,
Balance Organically,https://crueltyfree.peta.org/company/balance-organically/,,L,
Bali Body,https://crueltyfree.peta.org/company/bali-body/,,,
Bali Boo,https://crueltyfree.peta.org/company/bali-boo/,,L,
Bali Secrets,https://crueltyfree.peta.org/company/bali-secrets/,,L,
Balmy,https://crueltyfree.peta.org/company/balmy/,,L,
Bamboo Smiles,https://crueltyfree.peta.org/company/bamboo-smiles/,,L,
@BambuuBrush,https://crueltyfree.peta.org/company/bambuubrush/,,L,
BANBU – Zero Waste Brand,https://crueltyfree.peta.org/company/banbu-zero-waste-brand/,,L,
Banjara’s,https://crueltyfree.peta.org/company/banjaras/,,,
Baproy Bitkisel,https://crueltyfree.peta.org/company/baproy-bitkisel/,,L,
BAR NONE,https://crueltyfree.peta.org/company/bar-none/,,L,
Bar Raw Beauty,https://crueltyfree.peta.org/company/bar-raw-beauty/,,L,
Bardot Vegan Beauty,https://crueltyfree.peta.org/company/bardot-vegan-beauty/,,,
Bare Anatomy,https://crueltyfree.peta.org/company/bare-anatomy/,,L,
Bare Bones Body Care,https://crueltyfree.peta.org/company/bare-bones-body-care/,,,
Bare English & Co.,https://crueltyfree.peta.org/company/bare-english-co/,,L,
BareEarth,https://crueltyfree.peta.org/company/bareearth/,,,
BareFace Cosmetics,https://crueltyfree.peta.org/company/bareface-cosmetics/,,L,
Barefaced Beauty,https://crueltyfree.peta.org/company/barefaced-beauty/,,L,
Baron Bishop Parfums,https://crueltyfree.peta.org/company/baron-bishop-parfums/,,,
Baron Bright,https://crueltyfree.peta.org/company/baron-bright/,,L,
Barony Beauty,https://crueltyfree.peta.org/company/barony-beauty/,,L,
Barr,https://crueltyfree.peta.org/company/barr/,,L,
Barrier Body Wash,https://crueltyfree.peta.org/company/barrier-body-wash/,,L,
BARRY M,https://crueltyfree.peta.org/company/barry-m/,,L,
Bartholomew Sisters,https://crueltyfree.peta.org/company/bartholomew-sisters/,,L,
Base Beauté,https://crueltyfree.peta.org/company/base-beaute/,,,
Base Skin,https://crueltyfree.peta.org/company/base-skin/,,L,
basic,https://crueltyfree.peta.org/company/basic/,,L,
Basic Ink,https://crueltyfree.peta.org/company/basic-ink/,,L,
Bath Haus Body Pty Ltd,https://crueltyfree.peta.org/company/bath-haus-body-pty-ltd/,,,
Battle Green,https://crueltyfree.peta.org/company/battle-green/,,L,
BATTUS,https://crueltyfree.peta.org/company/battus/,,L,
Baumebastic,https://crueltyfree.peta.org/company/baumebastic/,,L,
Bayla Skin,https://crueltyfree.peta.org/company/bayla-skin/,,L,
BB Lifestyle LLC,https://crueltyfree.peta.org/company/bb-lifestyle-llc/,,L,
bBold,https://crueltyfree.peta.org/company/bbold/,,L,
Be at One,https://crueltyfree.peta.org/company/be-at-one/,,L,
Be Aurora,https://crueltyfree.peta.org/company/be-aurora/,,L,
Be-blum (Klaxen),https://crueltyfree.peta.org/company/be-blum-klaxen/,,L,
be Chom Chom Rusgrin LLC,https://crueltyfree.peta.org/company/be-chom-chom-rusgrin-llc/,,L,
be green – be better,https://crueltyfree.peta.org/company/be-green-be-better/,,L,
Be Humane,https://crueltyfree.peta.org/company/be-humane/,,,
Be Kashvi,https://crueltyfree.peta.org/company/be-kashvi/,,L,
Be Natural Organics,https://crueltyfree.peta.org/company/be-natural-organics/,,L,
Be. On Vegan,https://crueltyfree.peta.org/company/be-on-vegan/,,L,
be tanics,https://crueltyfree.peta.org/company/be-tanics/,,L,
Beach Street,https://crueltyfree.peta.org/company/beach-street/,,,
Beaubble,https://crueltyfree.peta.org/company/beaubble/,,L,
BEAUT.E,https://crueltyfree.peta.org/company/beaute/,,,
Beaute Affair,https://crueltyfree.peta.org/company/beaute-affair/,,L,
Beautenotions,https://crueltyfree.peta.org/company/beautenotions/,,L,
Beautiful Movements Cosmetics,https://crueltyfree.peta.org/company/beautiful-movements-cosmetics/,,L,
Beauts,https://crueltyfree.peta.org/company/beauts/,,L,
Beauty Concept,https://crueltyfree.peta.org/company/beauty-concept/,,L,
Beauty Creations,https://crueltyfree.peta.org/company/beauty-creations/,,L,
Beauty Disrupted,https://crueltyfree.peta.org/company/beauty-disrupted/,,,
BEAUTY DREAMS COSMETIC SERVICES,https://crueltyfree.peta.org/company/beauty-dreams-cosmetic-services/,,L,
Beauty Foot Cosmetic,https://crueltyfree.peta.org/company/beauty-foot-cosmetic/,,,
Beauty Icon Cosmetics,https://crueltyfree.peta.org/company/beauty-icon-cosmetics/,,,
BEAUTY-K,https://crueltyfree.peta.org/company/beauty-k/,,L,
Beauty Pro,https://crueltyfree.peta.org/company/beauty-pro/,,L,
Beauty Sanctuary Cosmetics,https://crueltyfree.peta.org/company/beauty-sanctuary-cosmetics/,,L,
Beauty Science UK,https://crueltyfree.peta.org/company/beauty-science-uk/,,L,
Beauty Without Cruelty Products for North American Customers,https://crueltyfree.peta.org/company/beauty-without-cruelty-products-for-north-american-customers/,,,
"Beauty Without Cruelty (UK, Europe, & Rest of World)",https://crueltyfree.peta.org/company/beauty-without-cruelty-uk-europe-rest-of-world/,,,
BEAUTYLOPE Pure & Vegan Halal Cosmetics,https://crueltyfree.peta.org/company/beautylope-pure-vegan-halal-cosmetics/,,L,
BEB Organic,https://crueltyfree.peta.org/company/beb-organic/,,L,
beBIO,https://crueltyfree.peta.org/company/bebio/,,L,
Bedrock and Bloom,https://crueltyfree.peta.org/company/bedrock-and-bloom/,,,
BeeSweet LipBalm,https://crueltyfree.peta.org/company/beesweet-lipbalm/,,,
Beettan,https://crueltyfree.peta.org/company/beettan/,,,
BEL Corporation,https://crueltyfree.peta.org/company/bel-corporation/,,,
BELA BERE VIEIRA CARDOSO COSMETICOS,https://crueltyfree.peta.org/company/bela-bere-vieira-cardoso-cosmeticos/,,L,
Beleza Naturais,https://crueltyfree.peta.org/company/beleza-naturais/,,L,
Believe,https://crueltyfree.peta.org/company/believe/,,L,
Bella & Bear,https://crueltyfree.peta.org/company/bella-bear/,,L,
Bella Forever,https://crueltyfree.peta.org/company/bella-forever/,,L,
Bella Michelle,https://crueltyfree.peta.org/company/bella-michelle/,,L,
Bellabaci,https://crueltyfree.peta.org/company/bellabaci/,,L,
Bellami,https://crueltyfree.peta.org/company/bellami/,,,
Bellamianta,https://crueltyfree.peta.org/company/bellamianta/,,L,
Bellati Naturals,https://crueltyfree.peta.org/company/bellati-naturals/,,L,
BEMYFLOWER,https://crueltyfree.peta.org/company/bemyflower/,,L,
Ben & Anna,https://crueltyfree.peta.org/company/ben-anna/,,,
Benevolent Skin,https://crueltyfree.peta.org/company/benevolent-skin/,,L,
Bergamia,https://crueltyfree.peta.org/company/bergamia/,,L,
